,distribution,frequency
126,figure,34607
319,data,33852
93,system,32791
74,time,18845
777,pressure,17997
338,temperature,17459
631,test,17334
2,control,16755
23,power,15040
155,two,14674
25,one,14527
0,design,14443
300,may,14200
152,energy,14108
462,surface,13827
158,table,13767
66,analysis,13431
13,space,13309
52,shown,13255
1074,flow,12956
88,also,12926
571,would,12847
45,model,12651
1930,solar,11553
336,high,10722
109,function,9884
440,however,9810
419,section,9651
57,given,9650
283,use,9531
1023,field,9499
104,fig,9492
636,rate,9211
531,first,9143
985,study,9056
832,area,9003
1559,velocity,8968
202,since,8926
364,range,8889
137,value,8796
46,performance,8700
211,total,8579
406,case,8539
353,made,8321
127,effect,8281
2395,flight,8175
309,point,8071
1525,thermal,7868
460,angle,7784
270,information,7684
273,must,7683
192,order,7677
113,phase,7558
869,heat,7507
1060,material,7497
119,current,7462
867,gas,7210
147,ratio,7200
482,low,7050
185,method,7000
36,three,6969
242,process,6935
1555,water,6921
280,large,6911
466,noise,6901
182,thus,6740
375,per,6639
261,level,6623
29,type,6555
599,could,6447
41,small,6436
719,new,6378
801,problem,6323
429,second,6317
277,constant,6301
178,line,6277
53,due,6276
237,form,6235
495,maximum,6221
1001,cost,6216
513,air,6172
1075,region,6131
70,distribution,6106
208,within,6039
503,general,6029
210,error,5903
1704,cell,5892
1052,solution,5865
609,iii,5863
11,state,5857
1933,aircraft,5767
21,work,5686
101,input,5657
547,weight,5586
791,speed,5560
42,signal,5494
857,fuel,5492
340,possible,5462
172,source,5409
311,stress,5360
806,structure,5341
598,set,5293
938,satellite,5269
418,see,5226
1084,spacecraft,5173
234,change,5113
199,initial,5100
6,volume,5082
789,unit,5081
59,configuration,5035
118,voltage,5023
108,transfer,5013
840,length,5007
314,technology,4999
362,therefore,4981
216,various,4963
787,mass,4959
122,le,4937
111,different,4922
779,engine,4909
96,load,4907
828,part,4895
103,page,4808
94,response,4777
796,position,4769
693,found,4757
181,provide,4741
30,period,4735
685,factor,4707
561,size,4702
402,percent,4670
203,several,4633
1719,vehicle,4601
1986,wind,4588
130,result,4545
392,mode,4514
346,well,4510
2063,boundary,4469
537,plane,4383
731,approach,4328
881,along,4322
664,spectrum,4301
815,end,4264
772,sample,4194
138,average,4192
970,matrix,4184
1787,coefficient,4159
853,near,4013
771,standard,3997
244,laboratory,3996
1019,wave,3989
1251,mission,3974
926,force,3947
679,appendix,3940
502,condition,3935
508,similar,3912
977,array,3908
1143,earth,3888
141,cycle,3887
324,increase,3866
993,comparison,3849
1091,potential,3839
1027,ground,3834
245,support,3831
128,example,3822
131,theory,3815
239,necessary,3813
565,although,3811
129,without,3802
463,axis,3779
988,beam,3755
550,linear,3753
1628,diameter,3740
1078,normal,3737
85,project,3732
125,zero,3730
684,scale,3721
98,summary,3713
316,component,3685
861,motion,3644
26,contract,3626
1693,liquid,3618
92,circuit,3601
299,mean,3581
507,determine,3558
339,significant,3553
586,single,3550
298,specific,3523
7,final,3520
56,procedure,3466
2175,experiment,3465
578,series,3453
2499,wing,3439
686,four,3410
567,much,3406
2268,jet,3397
624,minimum,3365
1626,strength,3364
1111,orbit,3358
124,greater,3323
948,antenna,3292
560,either,3287
797,show,3269
